,id,rem_diz,rem_evro,rem_kosm,rooms_size,balcony,logia,dvor_view,street_view,merged_toilet,split_toilet,kids_allowed,pets_allowed,furn_in_rooms,furn_at_kitchen,bath,shower,washing,aircon,dishwaser,tv,freezer,internet,phone,ceiling_height,pass_lift,gruz_lift,trashprovod,link
5601,274549598,0.0,0.0,1.0,26.599999999999998,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,2.64,1,1,1,https://www.cian.ru/rent/flat/274549598
5602,271328977,0.0,0.0,1.0,32.0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,0,2.64,1,0,1,https://www.cian.ru/rent/flat/271328977
5603,274353497,0.0,1.0,0.0,36.0,0,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,2.64,1,1,1,https://www.cian.ru/rent/flat/274353497
5604,273347918,0.0,1.0,0.0,25.0,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,2.64,2,0,1,https://www.cian.ru/rent/flat/273347918
5605,274289319,0.0,1.0,0.0,29.0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,0,0,1,1,0,2.64,1,0,0,https://www.cian.ru/rent/flat/274289319
5606,270189131,0.0,0.0,1.0,19.0,0,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,1,1,0,2.64,3,0,1,https://www.cian.ru/rent/flat/270189131
5607,246533479,0.0,1.0,0.0,18.0,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,2.74,1,1,1,https://www.cian.ru/rent/flat/246533479
5608,274558247,0.0,1.0,0.0,32.0,1,0,1,0,0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,2.8,1,0,0,https://www.cian.ru/rent/flat/274558247
5609,274945915,1.0,0.0,0.0,26.700000000000003,1,0,1,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,2.64,1,0,1,https://www.cian.ru/rent/flat/274945915
5610,265218229,0.0,1.0,0.0,17.0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,2.64,1,1,0,https://www.cian.ru/rent/flat/265218229
